zotqdaFormat,ts,user,action,code,annotationKey,citekey,creator,year,title,pageLabel,text
history/1,2026-06-09T12:08:00.000Z,bob,add,Bewältigung/Humor,DEMO0175,Verwaltung-3,Demo,2026,Interview Verwaltung-3,1,Auszug 0175
history/1,2026-06-09T12:45:00.000Z,ann,add,Bewältigung/Sport,DEMO0025,Station-1,Demo,2026,Interview Station-1,4,Auszug 0025
history/1,2026-06-09T13:22:00.000Z,ann,add,Belastung/emotional,DEMO0008,Station-1,Demo,2026,Interview Station-1,1,Auszug 0008
history/1,2026-06-09T13:59:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0133,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0133
history/1,2026-06-09T14:36:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0155,Verwaltung-2,Demo,2026,Interview Verwaltung-2,2,Auszug 0155
history/1,2026-06-09T15:13:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0187,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0187
history/1,2026-06-09T15:50:00.000Z,ann,add,Bewältigung/Sport,DEMO0222,Verwaltung-4,Demo,2026,Interview Verwaltung-4,3,Auszug 0222
history/1,2026-06-09T16:27:00.000Z,bob,add,Ressourcen/Team,DEMO0227,Verwaltung-4,Demo,2026,Interview Verwaltung-4,3,Auszug 0227
history/1,2026-06-09T17:04:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0230,Verwaltung-4,Demo,2026,Interview Verwaltung-4,4,Auszug 0230
history/1,2026-06-09T17:41:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0157,Verwaltung-2,Demo,2026,Interview Verwaltung-2,2,Auszug 0157
history/1,2026-06-09T18:18:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0082,Station-3,Demo,2026,Interview Station-3,3,Auszug 0082
history/1,2026-06-09T18:55:00.000Z,bob,add,Belastung/emotional,DEMO0107,Station-4,Demo,2026,Interview Station-4,3,Auszug 0107
history/1,2026-06-09T19:32:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0168,Verwaltung-2,Demo,2026,Interview Verwaltung-2,3,Auszug 0168
history/1,2026-06-09T20:09:00.000Z,ann,add,Ressourcen/Team,DEMO0106,Station-4,Demo,2026,Interview Station-4,3,Auszug 0106
history/1,2026-06-09T20:46:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0181,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0181
history/1,2026-06-09T21:23:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0202,Verwaltung-3,Demo,2026,Interview Verwaltung-3,4,Auszug 0202
history/1,2026-06-09T22:00:00.000Z,bob,add,Belastung/emotional,DEMO0196,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0196
history/1,2026-06-09T22:37:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0024,Station-1,Demo,2026,Interview Station-1,3,Auszug 0024
history/1,2026-06-09T23:14:00.000Z,bob,add,Bewältigung/Humor,DEMO0114,Station-4,Demo,2026,Interview Station-4,4,Auszug 0114
history/1,2026-06-09T23:51:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0215,Verwaltung-4,Demo,2026,Interview Verwaltung-4,2,Auszug 0215
history/1,2026-06-10T00:28:00.000Z,ann,add,Belastung/emotional,DEMO0196,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0196
history/1,2026-06-10T01:05:00.000Z,ann,add,Bewältigung/Distanz,DEMO0128,Verwaltung-1,Demo,2026,Interview Verwaltung-1,2,Auszug 0128
history/1,2026-06-10T01:42:00.000Z,bob,add,Bewältigung/Sport,DEMO0070,Station-3,Demo,2026,Interview Station-3,2,Auszug 0070
history/1,2026-06-10T02:19:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0107,Station-4,Demo,2026,Interview Station-4,3,Auszug 0107
history/1,2026-06-10T02:56:00.000Z,ann,add,Belastung/emotional,DEMO0060,Station-3,Demo,2026,Interview Station-3,1,Auszug 0060
history/1,2026-06-10T03:33:00.000Z,ann,add,Ressourcen/Team,DEMO0035,Station-2,Demo,2026,Interview Station-2,1,Auszug 0035
history/1,2026-06-10T04:10:00.000Z,bob,add,Bewältigung/Humor,DEMO0152,Verwaltung-2,Demo,2026,Interview Verwaltung-2,2,Auszug 0152
history/1,2026-06-10T04:47:00.000Z,bob,add,Belastung/emotional,DEMO0022,Station-1,Demo,2026,Interview Station-1,3,Auszug 0022
history/1,2026-06-10T05:24:00.000Z,ann,add,Bewältigung/Distanz,DEMO0111,Station-4,Demo,2026,Interview Station-4,3,Auszug 0111
history/1,2026-06-10T06:01:00.000Z,ann,add,Belastung/körperlich,DEMO0052,Station-2,Demo,2026,Interview Station-2,3,Auszug 0052
history/1,2026-06-10T06:38:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0097,Station-4,Demo,2026,Interview Station-4,1,Auszug 0097
history/1,2026-06-10T07:15:00.000Z,ann,add,Bewältigung/Distanz,DEMO0105,Station-4,Demo,2026,Interview Station-4,3,Auszug 0105
history/1,2026-06-10T07:52:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0163,Verwaltung-2,Demo,2026,Interview Verwaltung-2,3,Auszug 0163
history/1,2026-06-10T08:29:00.000Z,bob,add,Bewältigung/Humor,DEMO0030,Station-1,Demo,2026,Interview Station-1,4,Auszug 0030
history/1,2026-06-10T09:06:00.000Z,ann,add,Bewältigung/Distanz,DEMO0079,Station-3,Demo,2026,Interview Station-3,3,Auszug 0079
history/1,2026-06-10T09:43:00.000Z,ann,add,Bewältigung/Humor,DEMO0006,Station-1,Demo,2026,Interview Station-1,1,Auszug 0006
history/1,2026-06-10T10:20:00.000Z,bob,add,Bewältigung/Sport,DEMO0102,Station-4,Demo,2026,Interview Station-4,2,Auszug 0102
history/1,2026-06-10T10:57:00.000Z,bob,add,Belastung/emotional,DEMO0056,Station-2,Demo,2026,Interview Station-2,3,Auszug 0056
history/1,2026-06-10T11:34:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0120,Verwaltung-1,Demo,2026,Interview Verwaltung-1,1,Auszug 0120
history/1,2026-06-10T12:11:00.000Z,ann,add,Ressourcen/Team,DEMO0174,Verwaltung-3,Demo,2026,Interview Verwaltung-3,1,Auszug 0174
history/1,2026-06-10T12:48:00.000Z,ann,add,Belastung/emotional,DEMO0050,Station-2,Demo,2026,Interview Station-2,3,Auszug 0050
history/1,2026-06-10T13:25:00.000Z,bob,add,Belastung/emotional,DEMO0175,Verwaltung-3,Demo,2026,Interview Verwaltung-3,1,Auszug 0175
history/1,2026-06-10T14:02:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0069,Station-3,Demo,2026,Interview Station-3,2,Auszug 0069
history/1,2026-06-10T14:39:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0226,Verwaltung-4,Demo,2026,Interview Verwaltung-4,3,Auszug 0226
history/1,2026-06-10T15:16:00.000Z,ann,add,Ressourcen/Team,DEMO0032,Station-1,Demo,2026,Interview Station-1,4,Auszug 0032
history/1,2026-06-10T15:53:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0136,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0136
history/1,2026-06-10T16:30:00.000Z,bob,add,Ressourcen/Team,DEMO0059,Station-2,Demo,2026,Interview Station-2,4,Auszug 0059
history/1,2026-06-10T17:07:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0213,Verwaltung-4,Demo,2026,Interview Verwaltung-4,2,Auszug 0213
history/1,2026-06-10T17:44:00.000Z,ann,add,Bewältigung/Distanz,DEMO0228,Verwaltung-4,Demo,2026,Interview Verwaltung-4,4,Auszug 0228
history/1,2026-06-10T18:21:00.000Z,bob,add,Ressourcen/Team,DEMO0141,Verwaltung-1,Demo,2026,Interview Verwaltung-1,4,Auszug 0141
history/1,2026-06-10T18:58:00.000Z,bob,add,Belastung/körperlich,DEMO0043,Station-2,Demo,2026,Interview Station-2,2,Auszug 0043
history/1,2026-06-10T19:35:00.000Z,bob,add,Bewältigung/Humor,DEMO0173,Verwaltung-3,Demo,2026,Interview Verwaltung-3,1,Auszug 0173
history/1,2026-06-10T20:12:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0134,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0134
history/1,2026-06-10T20:49:00.000Z,bob,add,Bewältigung/Humor,DEMO0130,Verwaltung-1,Demo,2026,Interview Verwaltung-1,2,Auszug 0130
history/1,2026-06-10T21:26:00.000Z,ann,add,Bewältigung/Distanz,DEMO0194,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0194
history/1,2026-06-10T22:03:00.000Z,ann,add,Bewältigung/Humor,DEMO0196,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0196
history/1,2026-06-10T22:40:00.000Z,ann,add,Ressourcen/Team,DEMO0108,Station-4,Demo,2026,Interview Station-4,3,Auszug 0108
history/1,2026-06-10T23:17:00.000Z,ann,add,Bewältigung/Sport,DEMO0105,Station-4,Demo,2026,Interview Station-4,3,Auszug 0105
history/1,2026-06-10T23:54:00.000Z,bob,add,Belastung/emotional,DEMO0018,Station-1,Demo,2026,Interview Station-1,3,Auszug 0018
history/1,2026-06-11T00:31:00.000Z,bob,add,Bewältigung/Distanz,DEMO0105,Station-4,Demo,2026,Interview Station-4,3,Auszug 0105
history/1,2026-06-11T01:08:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0137,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0137
history/1,2026-06-11T01:45:00.000Z,bob,add,Bewältigung/Sport,DEMO0167,Verwaltung-2,Demo,2026,Interview Verwaltung-2,3,Auszug 0167
history/1,2026-06-11T02:22:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0058,Station-2,Demo,2026,Interview Station-2,4,Auszug 0058
history/1,2026-06-11T02:59:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0203,Verwaltung-3,Demo,2026,Interview Verwaltung-3,4,Auszug 0203
history/1,2026-06-11T03:36:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0136,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0136
history/1,2026-06-11T04:13:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0083,Station-3,Demo,2026,Interview Station-3,4,Auszug 0083
history/1,2026-06-11T04:50:00.000Z,bob,add,Bewältigung/Sport,DEMO0128,Verwaltung-1,Demo,2026,Interview Verwaltung-1,2,Auszug 0128
history/1,2026-06-11T05:27:00.000Z,ann,add,Bewältigung/Humor,DEMO0088,Station-3,Demo,2026,Interview Station-3,4,Auszug 0088
history/1,2026-06-11T06:04:00.000Z,bob,add,Bewältigung/Sport,DEMO0144,Verwaltung-2,Demo,2026,Interview Verwaltung-2,1,Auszug 0144
history/1,2026-06-11T06:41:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0187,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0187
history/1,2026-06-11T07:18:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0109,Station-4,Demo,2026,Interview Station-4,3,Auszug 0109
history/1,2026-06-11T07:55:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0226,Verwaltung-4,Demo,2026,Interview Verwaltung-4,3,Auszug 0226
history/1,2026-06-11T08:32:00.000Z,bob,add,Bewältigung/Sport,DEMO0231,Verwaltung-4,Demo,2026,Interview Verwaltung-4,4,Auszug 0231
history/1,2026-06-11T09:09:00.000Z,bob,add,Ressourcen/Team,DEMO0106,Station-4,Demo,2026,Interview Station-4,3,Auszug 0106
history/1,2026-06-11T09:46:00.000Z,ann,add,Bewältigung/Distanz,DEMO0147,Verwaltung-2,Demo,2026,Interview Verwaltung-2,1,Auszug 0147
history/1,2026-06-11T10:23:00.000Z,ann,add,Belastung/körperlich,DEMO0036,Station-2,Demo,2026,Interview Station-2,1,Auszug 0036
history/1,2026-06-11T11:00:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0081,Station-3,Demo,2026,Interview Station-3,3,Auszug 0081
history/1,2026-06-11T11:37:00.000Z,bob,add,Belastung/emotional,DEMO0017,Station-1,Demo,2026,Interview Station-1,3,Auszug 0017
history/1,2026-06-11T12:14:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0216,Verwaltung-4,Demo,2026,Interview Verwaltung-4,2,Auszug 0216
history/1,2026-06-11T12:51:00.000Z,bob,add,Ressourcen/Anerkennung,DEMO0178,Verwaltung-3,Demo,2026,Interview Verwaltung-3,1,Auszug 0178
history/1,2026-06-11T13:28:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0193,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0193
history/1,2026-06-11T14:05:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0186,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0186
history/1,2026-06-11T14:42:00.000Z,ann,add,Bewältigung/Humor,DEMO0160,Verwaltung-2,Demo,2026,Interview Verwaltung-2,3,Auszug 0160
history/1,2026-06-11T15:19:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0145,Verwaltung-2,Demo,2026,Interview Verwaltung-2,1,Auszug 0145
history/1,2026-06-11T15:56:00.000Z,bob,add,Belastung/emotional,DEMO0072,Station-3,Demo,2026,Interview Station-3,2,Auszug 0072
history/1,2026-06-11T16:33:00.000Z,bob,add,Bewältigung/Distanz,DEMO0063,Station-3,Demo,2026,Interview Station-3,1,Auszug 0063
history/1,2026-06-11T17:10:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0090,Station-4,Demo,2026,Interview Station-4,1,Auszug 0090
history/1,2026-06-11T17:47:00.000Z,ann,add,Belastung/emotional,DEMO0184,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0184
history/1,2026-06-11T18:24:00.000Z,ann,add,Belastung/emotional,DEMO0099,Station-4,Demo,2026,Interview Station-4,2,Auszug 0099
history/1,2026-06-11T19:01:00.000Z,ann,add,Belastung/körperlich,DEMO0012,Station-1,Demo,2026,Interview Station-1,2,Auszug 0012
history/1,2026-06-11T19:38:00.000Z,bob,add,Bewältigung/Distanz,DEMO0228,Verwaltung-4,Demo,2026,Interview Verwaltung-4,4,Auszug 0228
history/1,2026-06-11T20:15:00.000Z,bob,add,Bewältigung/Distanz,DEMO0115,Station-4,Demo,2026,Interview Station-4,4,Auszug 0115
history/1,2026-06-11T20:52:00.000Z,ann,add,Ressourcen/Team,DEMO0062,Station-3,Demo,2026,Interview Station-3,1,Auszug 0062
history/1,2026-06-11T21:29:00.000Z,bob,add,Bewältigung/Humor,DEMO0101,Station-4,Demo,2026,Interview Station-4,2,Auszug 0101
history/1,2026-06-11T22:06:00.000Z,bob,add,Bewältigung/Distanz,DEMO0194,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0194
history/1,2026-06-11T22:43:00.000Z,ann,add,Bewältigung/Distanz,DEMO0124,Verwaltung-1,Demo,2026,Interview Verwaltung-1,2,Auszug 0124
history/1,2026-06-11T23:20:00.000Z,ann,add,Ressourcen/Autonomie,DEMO0145,Verwaltung-2,Demo,2026,Interview Verwaltung-2,1,Auszug 0145
history/1,2026-06-11T23:57:00.000Z,bob,add,Belastung/emotional,DEMO0045,Station-2,Demo,2026,Interview Station-2,2,Auszug 0045
history/1,2026-06-12T00:34:00.000Z,ann,add,Belastung/körperlich,DEMO0014,Station-1,Demo,2026,Interview Station-1,2,Auszug 0014
history/1,2026-06-12T01:11:00.000Z,bob,add,Belastung/körperlich,DEMO0040,Station-2,Demo,2026,Interview Station-2,1,Auszug 0040
history/1,2026-06-12T01:48:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0084,Station-3,Demo,2026,Interview Station-3,4,Auszug 0084
history/1,2026-06-12T02:25:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0016,Station-1,Demo,2026,Interview Station-1,2,Auszug 0016
history/1,2026-06-12T03:02:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0004,Station-1,Demo,2026,Interview Station-1,1,Auszug 0004
history/1,2026-06-12T03:39:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0074,Station-3,Demo,2026,Interview Station-3,2,Auszug 0074
history/1,2026-06-12T04:16:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0133,Verwaltung-1,Demo,2026,Interview Verwaltung-1,3,Auszug 0133
history/1,2026-06-12T04:53:00.000Z,ann,add,Belastung/Zeitdruck,DEMO0182,Verwaltung-3,Demo,2026,Interview Verwaltung-3,2,Auszug 0182
history/1,2026-06-12T05:30:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0054,Station-2,Demo,2026,Interview Station-2,3,Auszug 0054
history/1,2026-06-12T06:07:00.000Z,bob,add,Belastung/emotional,DEMO0020,Station-1,Demo,2026,Interview Station-1,3,Auszug 0020
history/1,2026-06-12T06:44:00.000Z,bob,add,Bewältigung/Humor,DEMO0170,Verwaltung-2,Demo,2026,Interview Verwaltung-2,4,Auszug 0170
history/1,2026-06-12T07:21:00.000Z,bob,add,Bewältigung/Distanz,DEMO0039,Station-2,Demo,2026,Interview Station-2,1,Auszug 0039
history/1,2026-06-12T07:58:00.000Z,bob,add,Belastung/emotional,DEMO0037,Station-2,Demo,2026,Interview Station-2,1,Auszug 0037
history/1,2026-06-12T08:35:00.000Z,ann,add,Bewältigung/Humor,DEMO0212,Verwaltung-4,Demo,2026,Interview Verwaltung-4,1,Auszug 0212
history/1,2026-06-12T09:12:00.000Z,bob,add,Belastung/emotional,DEMO0149,Verwaltung-2,Demo,2026,Interview Verwaltung-2,1,Auszug 0149
history/1,2026-06-12T09:49:00.000Z,ann,add,Belastung/emotional,DEMO0036,Station-2,Demo,2026,Interview Station-2,1,Auszug 0036
history/1,2026-06-12T10:26:00.000Z,bob,add,Belastung/emotional,DEMO0046,Station-2,Demo,2026,Interview Station-2,2,Auszug 0046
history/1,2026-06-12T11:03:00.000Z,ann,add,Ressourcen/Team,DEMO0191,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0191
history/1,2026-06-12T11:40:00.000Z,bob,add,Belastung/körperlich,DEMO0012,Station-1,Demo,2026,Interview Station-1,2,Auszug 0012
history/1,2026-06-12T12:17:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0205,Verwaltung-4,Demo,2026,Interview Verwaltung-4,1,Auszug 0205
history/1,2026-06-12T12:54:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0221,Verwaltung-4,Demo,2026,Interview Verwaltung-4,3,Auszug 0221
history/1,2026-06-12T13:31:00.000Z,bob,add,Belastung/emotional,DEMO0005,Station-1,Demo,2026,Interview Station-1,1,Auszug 0005
history/1,2026-06-12T14:08:00.000Z,ann,add,Belastung/körperlich,DEMO0051,Station-2,Demo,2026,Interview Station-2,3,Auszug 0051
history/1,2026-06-12T14:45:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0143,Verwaltung-1,Demo,2026,Interview Verwaltung-1,4,Auszug 0143
history/1,2026-06-12T15:22:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0003,Station-1,Demo,2026,Interview Station-1,1,Auszug 0003
history/1,2026-06-12T15:59:00.000Z,bob,add,Ressourcen/Team,DEMO0009,Station-1,Demo,2026,Interview Station-1,2,Auszug 0009
history/1,2026-06-12T16:36:00.000Z,bob,add,Ressourcen/Autonomie,DEMO0199,Verwaltung-3,Demo,2026,Interview Verwaltung-3,4,Auszug 0199
history/1,2026-06-12T17:13:00.000Z,bob,add,Bewältigung/Humor,DEMO0050,Station-2,Demo,2026,Interview Station-2,3,Auszug 0050
history/1,2026-06-12T17:50:00.000Z,ann,add,Bewältigung/Distanz,DEMO0162,Verwaltung-2,Demo,2026,Interview Verwaltung-2,3,Auszug 0162
history/1,2026-06-12T18:27:00.000Z,ann,add,Belastung/körperlich,DEMO0081,Station-3,Demo,2026,Interview Station-3,3,Auszug 0081
history/1,2026-06-12T19:04:00.000Z,ann,add,Ressourcen/Anerkennung,DEMO0223,Verwaltung-4,Demo,2026,Interview Verwaltung-4,3,Auszug 0223
history/1,2026-06-12T19:41:00.000Z,bob,add,Belastung/emotional,DEMO0198,Verwaltung-3,Demo,2026,Interview Verwaltung-3,3,Auszug 0198
history/1,2026-06-12T20:18:00.000Z,bob,add,Belastung/Zeitdruck,DEMO0061,Station-3,Demo,2026,Interview Station-3,1,Auszug 0061
history/1,2026-06-12T20:55:00.000Z,ann,add,Belastung/körperlich,DEMO0164,Verwaltung-2,Demo,2026,Interview Verwaltung-2,3,Auszug 0164
history/1,2026-06-12T21:32:00.000Z,bob,add,Belastung/emotional,DEMO0036,Station-2,Demo,2026,Interview Station-2,1,Auszug 0036
